traj_id,文件名,bean_code,drop_code,①号位豆子,②号位豆子,③号位豆子,数字1在几号位,数字2在几号位,数字3在几号位,数字4在几号位,数字5在几号位
173,P0173.BIN,2,53,绿豆,黄豆,白芸豆,⑧号位,⑤号位,⑦号位,④号位,⑥号位
174,P0174.BIN,2,54,绿豆,黄豆,白芸豆,⑧号位,⑥号位,④号位,⑤号位,⑦号位
175,P0175.BIN,2,55,绿豆,黄豆,白芸豆,⑧号位,⑥号位,⑤号位,④号位,⑦号位
176,P0176.BIN,2,56,绿豆,黄豆,白芸豆,⑧号位,⑥号位,⑦号位,④号位,⑤号位
177,P0177.BIN,2,57,绿豆,黄豆,白芸豆,⑧号位,⑦号位,④号位,⑤号位,⑥号位
178,P0178.BIN,2,58,绿豆,黄豆,白芸豆,⑧号位,⑦号位,⑤号位,④号位,⑥号位
179,P0179.BIN,2,59,绿豆,黄豆,白芸豆,⑧号位,⑦号位,⑥号位,④号位,⑤号位
180,P0180.BIN,3,0,绿豆,白芸豆,黄豆,④号位,⑤号位,⑥号位,⑦号位,⑧号位
181,P0181.BIN,3,1,绿豆,白芸豆,黄豆,④号位,⑤号位,⑦号位,⑥号位,⑧号位
182,P0182.BIN,3,2,绿豆,白芸豆,黄豆,④号位,⑤号位,⑧号位,⑥号位,⑦号位
183,P0183.BIN,3,3,绿豆,白芸豆,黄豆,④号位,⑥号位,⑤号位,⑦号位,⑧号位
184,P0184.BIN,3,4,绿豆,白芸豆,黄豆,④号位,⑥号位,⑦号位,⑤号位,⑧号位
185,P0185.BIN,3,5,绿豆,白芸豆,黄豆,④号位,⑥号位,⑧号位,⑤号位,⑦号位
186,P0186.BIN,3,6,绿豆,白芸豆,黄豆,④号位,⑦号位,⑤号位,⑥号位,⑧号位
187,P0187.BIN,3,7,绿豆,白芸豆,黄豆,④号位,⑦号位,⑥号位,⑤号位,⑧号位
188,P0188.BIN,3,8,绿豆,白芸豆,黄豆,④号位,⑦号位,⑧号位,⑤号位,⑥号位
189,P0189.BIN,3,9,绿豆,白芸豆,黄豆,④号位,⑧号位,⑤号位,⑥号位,⑦号位
190,P0190.BIN,3,10,绿豆,白芸豆,黄豆,④号位,⑧号位,⑥号位,⑤号位,⑦号位
191,P0191.BIN,3,11,绿豆,白芸豆,黄豆,④号位,⑧号位,⑦号位,⑤号位,⑥号位
192,P0192.BIN,3,12,绿豆,白芸豆,黄豆,⑤号位,④号位,⑥号位,⑦号位,⑧号位
193,P0193.BIN,3,13,绿豆,白芸豆,黄豆,⑤号位,④号位,⑦号位,⑥号位,⑧号位
194,P0194.BIN,3,14,绿豆,白芸豆,黄豆,⑤号位,④号位,⑧号位,⑥号位,⑦号位
195,P0195.BIN,3,15,绿豆,白芸豆,黄豆,⑤号位,⑥号位,④号位,⑦号位,⑧号位
196,P0196.BIN,3,16,绿豆,白芸豆,黄豆,⑤号位,⑥号位,⑦号位,④号位,⑧号位
197,P0197.BIN,3,17,绿豆,白芸豆,黄豆,⑤号位,⑥号位,⑧号位,④号位,⑦号位
198,P0198.BIN,3,18,绿豆,白芸豆,黄豆,⑤号位,⑦号位,④号位,⑥号位,⑧号位
199,P0199.BIN,3,19,绿豆,白芸豆,黄豆,⑤号位,⑦号位,⑥号位,④号位,⑧号位
200,P0200.BIN,3,20,绿豆,白芸豆,黄豆,⑤号位,⑦号位,⑧号位,④号位,⑥号位
201,P0201.BIN,3,21,绿豆,白芸豆,黄豆,⑤号位,⑧号位,④号位,⑥号位,⑦号位
